58	-ed,-ent,-er,-ey,-ing,-ly,al-,an-,ov-,re-,to-	They have sent over their top reporter Ahmed Mansour to the town, and he is spouting all kinds of propaganda hourly reminding me of Al-Sahhaf.
59	-an,-ant,-ar,-en,-es,-et,-ey,-ing,-st,-ster,ag-,al-,an-,pre-	"They are targetting ambulances", "American snipers are shooting children and pregnant women", and "They are using cluster bombs against civilians" is all you get to hear from him.
60	-able,-an,-ed,-en,-es,-id,-ing,-or,an-,co-,di-,on-,un-	He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al-Golan, but of course that is okay for Al-Jazeera.
61	-ad,-an,-ed,-er,-es,-ing,-one,-ous,an-,ano-,de-,en-,in-	Someone who called himself Abu Hafs from the Ibn Al-Khattab Brigades (another new group) was on Al-Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents.
62	-ad,-ed,-er,-one,al-,an-,de-,re-	Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone.
63	-id,-ling,con-	Al-Iraqiyah tv said that ICDC were controlling Ramadi.
64	-ad,-al,-an,-ase,-ative,-ed,-er,-es,-ia,-ic,-in,-ing,-ite,-ly,-ment,-st,ac-,ag-,al-,allo-,an-,bi-,com-,de-,in-,new-	Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin, an Al-Qaeda operative in Saudi Arabia on an Islamic website 'the voice of Jihad', in which he stated that "although mutilating dead bodies is not originally permitted in Islam, but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions".
65	-ad,-age,-ation,-ed,-ee,-en,-er,-es,-ey,-ia,-ian,-ing,-ole,-ome,-or,-ped,-th,ad-,af-,ag-,an-,com-,de-,ex-,for-,re-,step-,to-,under-	He added that "America does not understand anything except the language of force and retaliation, they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see", and that "the day will come when the dead bodies of Americans and Jews would be dragged, defiled, and stepped on in the Arabian peninsula together with their agents and supporters".
66	-ar,-ed,-est,-ion,-ious,-le,-ory,-st,-yl,dis-,histo-,inter-,on-,re-,to-	Elena's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history.
67	-ed,-en,-ent,-le,-th,-yl,af-,al-,an-,di-	We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.
69	-an,-ite,-ory,-yl,an-,to-	Now you can tour Chernobyl and write your own story.
70	-ing,-st,ab-	This is not a post about fault-finding or assigning blame.
71	-ed,-ture,af-,an-	It is a time to learn what happened and how it may affect the future.
72	-ant,-ation,-ative,-ed,-ee,-ence,-fic,-ic,-ing,-le,-st,-th,-yl,an-,aut-,con-,ex-,radi-,re-	There was a soothing authoritative UNSCEAR (United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation-related health effects to most people exposed.
73	-ase,-ation,-ed,-ess,-ian,-ing,-ly,-tion,-ty,con-,pre-,re-	This was heavily promoted by the Australasian Radiation Protection Society in a press release titled THE MYTHS OF CHERNOBYL which contained the following:
74	-ad,-ar,-ation,-ed,-en,-ent,-er,-es,-ic,-ing,-ly,-or,-st,-th,-ure,-yl,ac-,af-,an-,be-,de-,ex-,radi-,re-	One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions, and that public health has been severely affected by exposure to radiation.
75	-al,-ation,-ed,-en,-ence,-es,-ia,-ian,-le,-ry,an-,be-,re-	Many people still believe that to be true, even though the Ministry of Russian Federation on Civil Defence, Emergencies and Elimination of Conseguences of Natural Disasters (EMERCOM of Russia) reported this in 1996:
77	-al,-ant,-ase,-cade,-ed,-en,-ent,-et,-hood,-in,-ion,-mer,-oid,-oma,-st,-wise,-yl,ac-,ad-,an-,at-,be-,con-,deca-,ex-,for-,in-,other-,re-,un-	In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.
78	-al,-ant,-ation,-ed,-ency,-ergy,-es,-ian,-ic,-ious,-ly,-th,-yl,an-,in-,pre-,re-	The prestigious IAEA (International Atomic Energy Agency) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects.
79	-ed,-en,-ent,-er,-yl,af-,contra-,re-	However, in April 2001, the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned. which contradict the earlier reports.
80	-ome,ex-	Here are some excerpts:
81	-ase,-ed,-en,-es,-ia,-ic,-ine,-oid,ad-,an-,be-,con-,in-,radi-	The dramatic increase in radiation-induced thyroid cancers in children and adolescents in Belarus, Russia, and Ukraine, which have been observed since 1991, continues to this day.
82	-al,-ancy,-ase,-ate,-ation,-ing,-ive,-th,an-,bi-,com-,de-,in-,neo-,pre-,re-	...a drop in the birth rate, a deterioration in women's reproductive health, an increase in complications during pregnancy and birth, and a deterioration in neonatal health....
83	-ability,-ate,-ative,-ed,-ee,-en,-ent,-er,-es,-ia,-ics,-ine,-ing,-ity,-ly,-th,-yl,ac-,af-,al-,an-,co-,dis-,in-,post-,re-	The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus, Russia, and Ukraine - in the post-accident period is characterized by persistent negative tendencies: the morbidity rate is going up, the number of really healthy children is dropping, and disability is increasing .
84	-an,-ation,-en,-ent,-es,-ful,-ine,-ing,-or,-ose,-st,im-,par-,radi-	As a parent, I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning.
85	-yl,ab-	There is a lot to learn about Chernobyl.
86	-able,-ed,-ing,-ive,-ty,an-,con-,de-,re-,well-	Being well-informed will give you certainty and that is desirable in a world of conflicting reports.
87	-es,-th,-yl,re-	There are a wealth of references on Chernobyl.
88	-ad,-ing,-ome,an-,con-	Read some of the following links and draw your own conclusions.
89	-ed,-ent,-ese,-ist,-ster,-yl,ab-,an-,dis-,ex-,pre-	These links present the many viewpoints that existed and still exist about the disaster called Chernobyl:
90	-ed	IAEA Report Lessons learned
97	-yl	http://www.collectinghistory.net/chernobyl/
102	-yl	http://www.un.org/ha/chernobyl/
112	-en	http://www.chernobyl.info/en
116	-ed,-ing,-st,an-,con-,inter-,re-	I would be interested in hearing what conclusions you reached and what you found that was most convincing.
117	-ation,radi-	radiation:
118	-ad,-ation,-ed,-en,-est,-ey,-id,-ion,-ive,-ped,-th,-ular,an-,be-,en-,radi-	As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy (primitive at best!) and stopped when a lesion on my neck started enlarging--they said it was not CA but stopped the treatments....
119	-ation,-er,-es,-ing,for-,radi-	Remember the old shoe sizing machines that was a form of radiation xray?
120	-ped,to-	That too was stopped.
121	-an,-ation,-ing,-one,-ont,-tion,-yl,ab-,an-,radi-	Don't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks--there can be no doubts about the effects of radiation in Chernobyl.......
122	-al,-en,-ion,-yl,off-,re-	The Chernobyl Children's Project (http://www.adiccp.org/home/default.asp) offers several ways to help the children of that region.
123	-an,-ation,-ein,-est,-gram,-mer,-ome,-or,an-,com-	One of them is the Rest and Recuperation Program, wherein a child can come to the US for a few weeks in the summer.
124	-al,-an,-ed,-en,-ent,-es,-ing,-le,-some,ad-,re-,un-	Even a little time spent receiving wholesome, uncontaminated food, good medical care, etc. can add years to their lives.
125	-al,-ance,-art,-ed,-ee,-en,-es,-ese,-le,-or,ac-,an-,on-	S. and I have an acquaintance who has hosted several of these children for many years; to see these little ones breaks the heart.
126	-er,-es,-ful,-ing,-most,-or,al-,an-,over-,prot-,ur-	The urge to protect and gather them all in is almost overwhelming, and makes me more grateful for the blessings I have.
128	-ed,-en,-ory,-ry,be-,re-	I'm sorry to say Elena's story has been revealed to be a fake.
129	-an,-en,-es,-in,-ing,-ization,-ship,ab-,al-,an-,re-,to-	What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?
130	-an,-ed,-en,-in,-le,-ose,-th,-ture,ab-,al-,an-,com-,con-,mid-,to-	Because the US and Pakistan have managed to capture or kill about 2/3s of the top 25 al-Qaeda commanders, the middle managers are not in close contact with al-Zawahiri and Bin Laden.
131	-al,-es	The tape was a way to signal priorities.
132	-ad,-ade,-an,-ary,-ate,-ed,-en,-ent,-es,-ese,-st,-th,ag-,al-,an-,co-,over-,pre-	These are 1) Assassinate or overthrow Gen. Pervez Musharraf, the Pakistani military "president" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al-Qaeda.
133	-en,-er,-ial,-ing,al-,be-,cor-,off-,sub-,sym-	Musharraf has been trying to purge his officer corps of the substantial number of al-Qaeda sympathizers.
134	-ad,-ary,-ed,-ence,-er,-es,-id,-ly,-or,al-,an-,in-,ov-	His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad, as well as nearly 500 other al-Qaeda operatives, over 400 of whom the Pakistanis have turned over to the US.
135	-ent,-er,-es,-id,-ious,-ist,-ly,-ment,-tion,-ty,cent-,co-,di-,par-,re-	Musharraf held elections in October of 2002, in which center-right parties did well, but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition, MMA.
136	-ably,-an,-ed,-en,-er,-est,-in,-ment,al-,an-	MMA also captured the Northwest Frontier Province, which probably shelters Bin Laden and al-Zawahiri, and is in a joint government of Baluchistan Province, also on the Afghanistan border.
137	-al,-an,-ary,-er,-es,-ey,-gate,-ist,-or,-st,ag-,al-,an-,co-,in-,off-	If al-Qaeda can kill Musharraf or instigate a military coup against him by Islamist junior officers, they can hope to catapult the MMA to power as political allies and hosts.
138	-ar,-ase,-er,-ey,-in,-ist,-ol,-or,al-,con-,ter-	They would thereby gain control of a major base for terrorist operations, which is also a nuclear power.
139	-es,-ly,-st,-th,al-,un-	All this is highly unlikely, as with most al-Qaeda crackpot schemes.
140	-all,-an,-er,-in,-ly,ov-,un-	But so was it unlikely that a small group of Arab mujahidin would virtually take over Afghanistan.
141	-an,-cy,-en,-er,-ment,-st	Response: The US must do whatever it can to strengthen the legitimacy of the Pakistani government.
142	-al,-ent,-er,-es,-form,-ious,-ly,-or,-ship,-tion,-ure,an-,con-,di-,on-,pre-,re-,uni-	On the one hand, it should pressure Musharraf to take off his uniform and run for president in a fair election, and to repeal the contentious "Legal Framework Order" that essentially perpetuates his dictatorship.
143	-an,-ed,-er,-es,-et,-ty,an-,de-,re-	On the other, restrictions should be lifted on the mainstream Muslim League-N and Pakistan People's Party, who can defeat the MMA in fair elections if not hogtied by the secret police.
144	-al,-an,-er,-ia,-ment,an-,in-,is-	On the other hand, the US should strong-arm India and Pakistan into a final settlement of the Kashmir issue.
145	-ate,-ed,-ess,-fication,-ian,-ing,-or,at-,over-	Al-Zawahiri attempted to use Musharraf's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow.
146	-an,-ar,-en,-er,-es,-id,-ism,an-,di-,gen-,is-,ter-	The Kashmir issue generates far more terrorism, and even the threat of nuclear war, than Iraq ever did.
147	-age,-es,-et,-ing,-ist,-ment,-on,-st,an-,en-,ir-	2) Target Israel and encourage the worst elements of the Palestinians by playing on the iron fist policies of the Sharon government.
148	-ed,-ess,-ing,-ly,an-,iso-	Response: The US has succeeded in politically isolating Hamas, and started the process of cutting off its funding.
149	-an,-ar,-ed,-ess,-ist,-ization,-ly,an-,at-,on-,ter-	This terrorist organization can now only pull off far less sophisticated bombings and attacks.
150	-ed,con-,de-	It should continue to be defanged.
151	-al,-ation,-es,-est,-ing,-ist,-ive,-ization,-ly,-on,-ure,ad-,an-,ap-,col-,gen-,ir-,out-,pre-	But Sharon's iron fist is simply not working as a means of establishing general peace, and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza.
152	-arch,-ard,-ed,-er,-es,-et,-ine,-ing,-ism,-ling,-ol,-or,-th,ag-,al-,an-,in-,ov-,re-,ter-,to-	Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.
153	-ary,-ase,-ed,-es,-ine,-ish,-ly,-st,an-,gen-,un-	Israel owes the United States at least this much, in this crisis, to cease militarily unnecessary provocations and establish genuine peace.
154	-an,-er,-ics,-ing,-st,ag-,ano-	3) Make Iraq another Afghanistan, using the Republican Right's own tactics against them.
155	-ed,-ile,-ly,-or,-ory,ac-,al-,an-,sym-,ter-,with-	Response: Iraq is actually hostile territory for al-Qaeda, and without Iraqi sympathizers it cannot succeed there.
156	-es,-et,-ey,-ide,-ing,-le,-ly,-ment,-ty,ab-,an-,fore-,im-	By moving quickly to Iraqi sovereignty and improvement of Iraqi lives, the US may be able to get Iraqis on its side, so that they turn in the foreigners.
157	-ate,-es,-ly,-wise,al-,an-,like-	Certainly, the Shiites already hate al-Qaeda and would help; likewise the Kurds.
158	-ed,-ing,-oid,al-,ent-	The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.
159	-et,-ey,-ile,-ing,-ism,-or,an-,in-,mon-	The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.
160	-an,-ed	We need an FDR in Iraq, not a Ronald Reagan.
161	-al,-an,-ative,-er,-es,-or,be-,co-,for-,inter-,with-	Of course, the sooner the US soldiers can be withdrawn in favor of less-provocative local or international forces, the better.
162	-ing,-ish,-ly,-or,-ry,al-,an-,is-	Getting the Spanish out of Iraq isn't nearly as good a rallying cry for al-Qaeda in the Arab world as getting the Americans and British out.
163	-al,-all,-an,-ar,-es,-in,-ing,-ly,-mer,-ous,al-,an-,for-,in-,like-,on-,radi-,re-	The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.
164	-ary,-ed,-ence,-ent,-wards,al-,ex-,pre-	George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president.
165	-an,-ard,-ary,-ed,-en,-ence,-ent,-ment,-st,-th,ex-,peta-,pre-	The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.
166	-al,-er,-ment,-st,re-,semi-	Let's just remember a seminal Bush moment in 1999:
167	-al,inter-,re-	' Bush fails reporter's pop quiz on international leaders
168	-er	November 5, 1999
169	-ed,post-	Web posted at: 3:29 p.m. EST (2029 GMT)
171	-able,-ably,-ent,-es,-ick,-ing,-ism,-on,-or,-ose,an-,be-,end-,un-	Texas Gov. George W. Bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots, but President Bill Clinton says Bush "should, and probably will, pick up" those names.
172	-al,-an,-ation,-ed,-er,-ial,-on,-or,af-,inter-,pre-,re-	The front-runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller, a political reporter for WHDH-TV in Boston.
174	-an,-ed,-er,-ia,an-	Hiller asked Bush to name the leaders of Chechnya, Taiwan, India and Pakistan.
175	-an,-ee,-ent,-er,-ese,-ial,-ing,-ive,-le,-ly,-ry,ab-,on-,par-,re-	Bush was only able to give a partial response to the query on the leader of Taiwan, referring to Taiwanese President Lee Teng-hui simply as "Lee."
176	co-,other-	He could not name the others.
177	-al,-an,gen-	"Can you name the general who is in charge of Pakistan?"
178	-ed,-en,-er,-ing,-ol,-ry,ab-,co-,con-,in-	Hiller asked, inquiring about Gen. Pervaiz Musharraf, who seized control of the country October 12.
179	-ed	"Wait, wait, is this 50 questions?" asked Bush.
180	-ed,-er,re-	Hiller replied: "No, it's four questions of four leaders in four hot spots." . . .
181	-al,-an,-ed,-en,-er,-es,-id,-ing,-st,-tion,ab-,al-,an-,be-,gen-,off-,ov-,to-	Bush, in answering the question about the leader of Pakistan, also said: "The new Pakistani general, he's just been elected -- not elected, this guy took over office.
182	-ability,-ent,-ing,-or,-ry,an-,ap-,co-,new-,sub-	It appears this guy is going to bring stability to the country and I think that's good news for the subcontinent."
183	-ed,-ent,-ing,-ment,-or,co-,com-,re-	Gore released a statement Friday taking Bush to task for his comments on Pakistan's recent coup.
184	-ary,-ate,-cracy,-ent,-er,-est,-id,-ize,-ling,-or,-ry,co-,de-,new-,pre-	"I find it troubling that a candidate for president in our country -- the world's oldest democracy -- would characterize the military takeover as "good news," Gore said.
185	-ade,-an,-ar,-ation,-ed,-en,-er,-ese,-est,-ic,-ing,-ive,-ly,-st,-tion,-ty,ab-,af-,com-,dis-	"Further, I find it even more disturbing that he made these comments about a nation that just last year tested nuclear weapons -- shortly after voicing his public opposition to the Comprehensive Test Ban Treaty.
186	-an,-ed,-ent,-on,-or,al-,com-	A spokesman for President Clinton also criticized Bush's comments.
187	-al,-an,-ed,-id,-ity,-ly,-one,-or,-ous,-ry,co-,con-,de-,over-	"It is very dangerous for this country to condone the overthrow of democratically elected governments," said David Leavy, spokesman for the National Security Council.
188	-ability,-al,-an,-ary,-ation,-ed,-en,-ent,-er,-est,-id,-ing,-ly,-ster,-th,an-,co-,con-,di-,in-,mini-,off-,on-,over-	Not only did Bush not know who General Pervez Musharraf was, he seems to have confused coup-making with "taking office," and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military, then the world's strongest supporter of the Taliban, would bring "stability!"
189	-ade,-art,-er,-ia,-ing,-ly,-ness,-ster,an-,be-,co-,con-,ex-,ov-,par-	Musharraf made his coup in part because of the military's anger over Prime Minister Nawaz Sharif's willingness to back down from confronting India over Kashmir, so that he explicitly came to power as a warmonger.
190	-ance,-ant,-ous,inter-	I can't tell you how ominous I found Bush's performance in that interview.
191	-able,-al,-er,-ing,ab-,re-,un-	I still remember him stuttering about "the General," unable to remember Musharraf's name.
192	-ad,-ed,-er,-ing,-ly,ab-,de-,ill-,in-	He obviously had no idea what he was talking about, though he demonstrated a number of ill-fated instincts.
193	-ability,-an,-arian,-cracy,-ed,-er,-ing,-ly,-ship,-th,-ule,aut-,be-,de-,di-,like-	He obviously liked authoritarian rule better than democracy, equating dictatorship with "stability."
194	-al,-ar,-ed,-er,-ia,-ing,-ious,-ity,-th,ab-,an-,di-,radi-,re-	And, he didn't think he needed to know anything about South Asia, with its nuclear giants and radical religious politics--the latter a dire security threat to the US.
195	-able,-ed,-en,-ess,-ing,be-,co-,un-	He couldn't tell when things were becoming more unstable as opposed to less.
196	-ar,-ent,-ia,-ing,-ship,-th,twi-	Musharraf went on to play nuclear brinkmanship with India in 2002, risking war twice that year.
197	-al,-an,-ary,-ation,-ed,-eme,-en,-er,-ess,-id,-ism,-ly,-st,af-,ag-,an-,at-,be-,con-,di-,ex-,im-,radi-,re-,un-	Although Musharraf did turn against the Taliban after September 11, under extreme duress from the US, elements of his military continued to support radical Islamism and have recently been implicated in assassination attempts on Musharraf himself.
198	-ability,-all,-ed,-ing,-ion,re-	This was the body that Bush proclaimed was bringing "stability" to the region in fall of 1999.
