id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
13	-ため,-たもの,-に対して	小泉内閣の高支持率を背景に国政の主導権を握る与党の自由民主・公明両党に対して政権交代の展望を見出すため、非自民勢力の結集を狙ったものであった。	▁小 泉 内閣 の高 支持 率 を 背景に 国 政 の主 導 権を 握る 与 党の 自由 民主 ・ 公 明 両 党 に対して 政権 交代 の 展 望 を見る出す ため 、 非 自民 勢 力の 結 集 を狙 うた ものだた 。	▁小 泉 内閣 の高 支持 率 を背景に 国 政 の主導権を握る 与 党の 自由 民主 ・ 公明 両 党 に対して 政権 交代 の 展望 を見る出す ため 、 非 自民 勢力の 結集 を狙うた ものだた 。	▁小 泉 内閣 の高 支持 率を背景に国政 の主導権を握る与 党の 自由 民主 ・ 公明両党に対して 政権 交代 の 展望 を見る出す ため 、 非 自民勢力の結集 を狙うたものだた 。	▁小 泉 内閣 の高 支持 率 を 背景に 国 政 の主 導 権を 握 る 与 党の 自由 民主 ・ 公 明 両 党 に対して 政権 交代 の 展 望 を見 出す ため 、 非 自民 勢 力の 結 集 を狙 った ものであった 。	▁小 泉 内閣 の高 支持 率 を背景に 国 政 の主導権を握 る 与 党の 自由 民主 ・ 公明 両 党 に対して 政権 交代 の 展望 を見出す ため 、 非 自民 勢力の 結 集 を狙った ものであった 。	▁小 泉 内閣 の高 支持 率を背景に国政 の主導権を握る与 党の 自由 民主 ・ 公明両党 に対して 政権 交代 の 展望 を見出す ため 、 非 自民勢力の結集 を狙った ものであった 。
14	-てまし,-には	医師の丁寧な診察や検査には安心感がもてましたね。	▁ 医師の 丁寧だ 診察 や 検査 には 安心 感 がも て るますた ね 。	▁ 医師の 丁寧だ診察 や 検査 には 安心感 がも てるますた ね 。	▁ 医師の丁寧だ診察 や 検査 には安心感がも てるますたね 。	▁ 医師の 丁寧な 診察 や 検査 には 安心 感 がも て ました ね 。	▁ 医師の 丁寧な診察 や 検査 には 安心感 がも てました ね 。	▁ 医師の 丁寧な診察 や 検査 には 安心感 がもてましたね 。
15	-かな,-って,-でい,-での,-という	エンゲージメント系の事例で言えば,日本での再現性は低いという前提でいた方がイイのかなと思っています。	▁ エン ゲージ メント 系の 事例 で 言う ば , 日本での 再現 性は 低い という 前提 で いるた 方が イ イの かな と思うているます 。	▁エン ゲージ メント 系の 事例 で言う ば , 日本での 再現 性は 低い という前提で いるた 方が イ イの かな と思うているます 。	▁エンゲージ メント 系の 事例 で言う ば , 日本での 再現性は 低いという前提で いるた 方が イ イの かな と思うているます 。	▁ エン ゲージ メント 系の 事例 で言 えば , 日本での 再現 性は 低い という 前提 で いた 方が イ イの かな と思っています 。	▁エン ゲージ メント 系の 事例 で言 えば , 日本での 再現 性は 低い という前提で いた 方が イ イの かな と思っています 。	▁エンゲージ メント 系の 事例 で言 えば , 日本での 再現 性は 低い という前提でいた 方が イ イの かなと思っています 。
16	-しか,-ない	店舗の見た目が居酒屋大の二階にしか見えないのが残念。	▁店舗 の 見た 目が 居酒屋 大の 二 階 に しか 見えるない のが 残念 。	▁店舗の 見た目が 居酒屋 大の 二 階 にしか見えるない のが残念 。	▁店舗の 見た目が 居酒屋 大の 二 階 にしか見えるない のが残念 。	▁店舗 の 見た 目が 居酒屋 大の 二 階 に しか 見えない のが 残念 。	▁店舗の 見た目が 居酒屋 大の 二 階 にしか見えない のが残念 。	▁店舗の 見た目が 居酒屋 大の 二 階 にしか見えない のが残念 。
17	-かな,-では	高松に3店舗を展開する四国スイーツの専門店、ラ・ファミーユでは、バレンタインを前に、焼かないチョコレートケーキ「半熟ザッハトルテ」の発売を開始しました。	▁高 松 に 3 店舗 を 展開する 四 国 ス イー ツの 専門 店 、 ラ ・ ファ ミー ユ では 、 バ レン タ イン を 前に 、 焼 くない チョ コ レート ケーキ 「 半 熟 ザ ッハ トル テ 」 の 発売 を開始 するますた 。	▁高松 に 3 店舗 を展開する 四国 ス イー ツの 専門 店 、 ラ ・ ファ ミーユ では 、 バレン タ インを 前に 、 焼 くない チョコレート ケーキ 「 半 熟 ザ ッハ トル テ 」 の 発売 を開始するますた 。	▁高松 に 3 店舗を展開する 四国スイーツの 専門 店 、 ラ ・ ファミーユでは 、 バレンタインを 前に 、 焼 くない チョコレート ケーキ 「 半 熟 ザ ッハ トル テ 」 の 発売 を開始するますた 。	▁高 松 に 3 店舗 を 展開する 四 国 ス イー ツの 専門 店 、 ラ ・ ファ ミー ユ では 、 バ レン タ イン を 前に 、 焼 かない チョ コ レート ケーキ 「 半 熟 ザ ッハ トル テ 」 の 発売 を開始 しました 。	▁高松 に 3 店舗 を展開する 四国 ス イー ツの 専門 店 、 ラ ・ ファ ミーユ では 、 バレンタ インを 前に 、 焼 かない チョコレート ケーキ 「 半 熟 ザ ッハ トル テ 」 の 発売 を開始しました 。	▁高松 に 3 店舗を展開する 四国スイーツの 専門 店 、 ラ ・ ファミーユ では 、 バレンタインを 前に 、 焼 かない チョコレート ケーキ 「 半 熟 ザ ッハ トル テ 」 の 発売 を開始しました 。
18	-ちゃいます,-って,-ので	王子の隠れ家的な美容室と思っているのですが、思い切って口コミしちゃいます。	▁ 王 子の 隠れ家 的だ 美容室 と思うている のだが 、 思い 切るて 口 コミ する ちゃうます 。	▁ 王子の 隠れ家的だ 美容室 と思うている のだが 、 思い 切るて 口 コミ する ちゃうます 。	▁ 王子の 隠れ家的だ 美容室 と思うている のだが 、 思い 切るて 口 コミ する ちゃうます 。	▁ 王 子の 隠れ家 的な 美容室 と思っている のですが 、 思い 切って 口 コミ し ちゃ います 。	▁ 王子の 隠れ家的な 美容室 と思っている のですが 、 思い 切って 口 コミ しちゃ います 。	▁ 王子の 隠れ家的な 美容室 と思っている のですが 、 思い 切って 口 コミしちゃいます 。
20	-である,-として,-まま	チーム名はアマチュア時代の「ロッテ・ジャイアンツ」の名をそのまま維持して、重光オーナーの故郷である釜山・慶尚南道地域をフランチャイズ保護地域として、釜山を本拠地とするプロ球団として転向した。	▁ チーム 名は アマチュア 時代の 「 ロッ テ ・ ジャ イアン ツ 」 の名 を そのまま 維持 するて 、 重 光 オーナーの 故郷 だ 釜山 ・ 慶 尚 南 道 地域を フラン チャ イズ 保護 地域 とするて 、 釜山 を本 拠 地 とする プロ 球団 とするて 転 向 するた 。	▁チーム 名は アマチュア 時代の 「 ロッテ ・ ジャイアン ツ 」 の名 をそのまま 維持 するて 、 重光 オーナーの 故郷だ 釜山 ・ 慶尚南道 地域を フラン チャ イズ 保護 地域 とするて 、 釜山 を本拠地とする プロ 球団 とするて転 向 するた 。	▁チーム名は アマチュア 時代の 「 ロッテ ・ ジャイアン ツ 」 の名をそのまま 維持 するて 、 重光オーナーの 故郷だ釜山 ・ 慶尚南道 地域を フランチャイズ 保護 地域 とするて 、 釜山 を本拠地とする プロ 球団 とするて転向 するた 。	▁ チーム 名は アマチュア 時代の 「 ロッ テ ・ ジャ イアン ツ 」 の名 をそのまま 維持 して 、 重 光 オーナーの 故郷 である 釜山 ・ 慶 尚 南 道 地域を フラン チャ イズ 保護 地域 として 、 釜山 を 本拠 地 とする プロ 球団 として 転 向 した 。	▁チーム 名は アマチュア 時代の 「 ロッテ ・ ジャイアン ツ 」 の名 をそのまま 維持 して 、 重光 オーナーの 故郷である 釜山 ・ 慶尚南道 地域を フラン チャ イズ 保護地域 として 、 釜山 を本拠地とする プロ 球団 として 転 向 した 。	▁チーム名は アマチュア 時代の 「 ロッテ ・ ジャイアンツ 」 の名 をそのまま 維持 して 、 重光 オーナーの 故郷である 釜山 ・ 慶尚南道 地域を フランチャ イズ保護地域 として 、 釜山 を本拠地とする プロ 球団 として転向した 。
21	-って,-てくる,-まで	カットは24時まで受け付けてくるので仕事帰りで遅くなってもいけますね。	▁カ ットは 24 時まで 受け 付けるて 来る ので 仕事 帰 りで 遅 いなる ても いく けるます ね 。	▁カ ットは 24 時まで 受け 付けるて 来るので 仕事 帰 りで 遅いなる ても いくけるます ね 。	▁カ ットは 24 時まで 受け 付けるて 来るので仕事 帰りで遅いなる ても いくけるますね 。	▁カ ットは 24 時まで 受け 付けて くる ので 仕事 帰 りで 遅 くな っても い けます ね 。	▁カ ットは 24 時まで 受け 付けてくる ので 仕事 帰 りで 遅くな っても い けます ね 。	▁カ ットは 24 時まで 受け付けてくる ので 仕事 帰 りで遅くなっても い けます ね 。
22	-であり,-より	なお、唯一の趣味は料理であり、その腕はネリンよりも上手い。	▁なお 、 唯一の 趣味 は 料理 だ 、 その 腕 は ネ リン よりも 上手い 。	▁なお 、 唯一の 趣味 は料理 だ 、 その 腕 は ネ リン よりも 上手い 。	▁なお 、 唯一の 趣味は料理だ 、 その 腕 は ネ リン よりも 上手い 。	▁なお 、 唯一の 趣味 は 料理 であり 、 その 腕 は ネ リン よりも 上手 い 。	▁なお 、 唯一の 趣味 は料理 であり 、 その 腕 は ネ リン よりも 上手い 。	▁なお 、 唯一の 趣味 は料理であり 、 その 腕 は ネ リン よりも 上手い 。
24	-える,-ために,-だけ,-であっ,-に対して	短い履帯長に対して長い車体は超塹性能がまた先端部へ75mm砲を収納するためにオーバーハングが長いためにほんの少しの段差を乗り越えただけで車体がつかえることが多く、不整地走破性は劣悪であった。	▁ 短い 履 帯 長 に対して 長い 車 体は 超 塹 性能 が また 先端 部 へ 75 m m 砲 を収 納 するために オーバー ハ ング が 長い ために ほんの少し の 段 差 を乗り 越 えるた だけで 車 体が つか える ことが多い 、 不 整 地 走 破 性は 劣 悪 だあるた 。	▁短い 履 帯 長 に対して 長い 車体は 超 塹 性能 がまた 先端 部 へ 75 m m 砲 を収 納 するために オーバー ハ ング が 長い ために ほんの少し の 段 差 を乗り越えるた だけで 車 体が つか える ことが多い 、 不 整 地 走 破 性は 劣 悪 だあるた 。	▁短い履 帯 長 に対して 長い車体は 超 塹 性能 がまた 先端 部 へ 75 m m 砲 を収 納 するために オーバー ハ ング が 長い ために ほんの少し の 段 差 を乗り越えるた だけで 車 体が つか える ことが多い 、 不 整 地 走 破 性は 劣 悪 だあるた 。	▁ 短い 履 帯 長 に対して 長い 車 体は 超 塹 性能 が また 先端 部 へ 75 m m 砲 を収 納 するために オーバー ハ ング が 長い ために ほんの少し の 段 差 を乗り 越 えた だけで 車 体が つか える ことが多く 、 不 整 地 走 破 性は 劣 悪 であった 。	▁短い 履 帯 長 に対して 長い 車体は 超 塹 性能 がまた 先端 部 へ 75 m m 砲 を収 納 するために オーバー ハ ング が 長い ために ほんの少し の 段 差 を乗り 越えた だけで 車 体が つか える ことが多く 、 不 整 地 走 破 性は 劣 悪 であった 。	▁短い履 帯 長 に対して 長い車体は 超 塹 性能 がまた先端部へ 75 m m 砲 を収 納 するために オーバー ハ ング が 長い ために ほんの少し の 段 差を乗り越えた だけで 車 体が つか える ことが多く 、 不 整 地 走 破 性は 劣 悪 であった 。
25	-から,-たいです,-ので	やっぱりせっかく来たのですから、何泊かしたいですし。	▁や っぱり せ っ かく 来るた のだ から 、 何 泊 か するたい し 。	▁やっぱり せ っかく 来るた のだから 、 何 泊 か するたい し 。	▁やっぱりせ っかく 来るたのだから 、 何 泊 か するたい し 。	▁や っぱり せ っ かく 来た のです から 、 何 泊 か したい ですし 。	▁やっぱり せ っかく 来た のです から 、 何 泊 か したい ですし 。	▁やっぱり せっかく来た のです から 、 何 泊 か したい ですし 。
27	-って,-であっ	後輪駆動への変更と、ワイドトレッドとなった足回りは大型のブリスターフェンダーに包まれ、多くのエアインテークやイタリア尽くめの装備品とも相まって、ラテンの香りが強く漂うモデルであった。	▁後 輪 駆動 への 変更 と 、 ワ イド ト レッド となるた 足 回り は大 型の ブリ スター フェンダー に包 むれる 、 多くの エア イン テ ーク や イタリア 尽く む の 装備 品 とも 相 ま つて 、 ラ テ ンの 香りが 強い 漂 う モデル だた 。	▁後 輪 駆動 への 変更 と 、 ワイド ト レッド となるた 足 回り は大型の ブリ スター フェンダー に包むれる 、 多くの エア イン テ ークや イタリア 尽く む の 装備 品 とも 相まつて 、 ラ テンの 香りが 強い 漂う モデル だた 。	▁後 輪 駆動 への 変更 と 、 ワイド ト レッド となるた 足 回りは大型のブリ スター フェンダー に包むれる 、 多くの エアインテークや イタリア 尽く む の 装備 品とも相まつて 、 ラテンの香りが 強い 漂う モデル だた 。	▁後 輪 駆動 への 変更 と 、 ワ イド ト レッド となった 足 回り は大 型の ブリ スター フェンダー に包 まれ 、 多くの エア イン テ ーク や イタリア 尽 く めの 装備 品 とも 相 まって 、 ラ テ ンの 香りが 強く 漂 う モデル であった 。	▁後 輪 駆動 への 変更 と 、 ワイド ト レッド となった 足 回り は大型の ブリ スター フェンダー に包まれ 、 多くの エア イン テ ークや イタリア 尽く めの 装備 品 とも 相まって 、 ラ テンの 香りが 強く 漂う モデル であった 。	▁後 輪 駆動 への 変更 と 、 ワイド ト レッド となった 足回りは大型の ブリ スター フェンダー に包まれ 、 多くの エア インテークや イタリア 尽く めの 装備 品 とも相まって 、 ラテンの香りが 強く 漂う モデル であった 。
28	-ておら	犯人は検挙されておらず、2012年8月現在未解決。	▁ 犯 人は 検 挙 するれるておるない 、2012 年 8 月現在 未 解決 。	▁犯人は 検挙 するれるておるない 、2012 年 8 月現在 未 解決 。	▁犯人は検挙 するれるておるない 、2012 年 8 月現在 未 解決 。	▁ 犯 人は 検 挙 されておらず 、2012 年 8 月現在 未 解決 。	▁犯人は 検挙 されておらず 、2012 年 8 月現在 未 解決 。	▁犯人は検挙 されておらず 、2012 年 8 月現在 未 解決 。
29	-では,-ない	山陽新幹線厚狭駅-新下関駅-小倉駅山陽本線長府駅-新下関駅-幡生駅*当駅を始発とする「みすゞ潮彩」は、当駅-下関駅間では幡生駅に停車しない。	▁山 陽 新幹線 厚 狭 駅 - 新 下関 駅 - 小 倉 駅 山 陽 本線 長 府 駅 - 新 下関 駅 - 幡 生 駅 * 当 駅 を 始 発 とする 「 み す ゞ 潮 彩 」 は 、 当 駅 - 下関 駅間 では 幡 生 駅 に 停車 するない 。	▁山 陽 新幹線 厚 狭 駅 - 新下関駅 - 小 倉 駅 山陽 本線 長 府 駅 - 新下関駅 - 幡生駅 * 当駅 を 始 発 とする 「 みす ゞ 潮 彩 」 は 、 当駅 - 下関 駅間では 幡生駅 に停車 するない 。	▁山 陽 新幹線 厚 狭 駅 - 新下関駅 - 小 倉 駅 山陽本線長 府 駅 - 新下関駅 - 幡生駅 * 当駅 を 始 発 とする 「 みすゞ潮彩 」 は 、 当駅 - 下関 駅間では幡生駅 に停車 するない 。	▁山 陽 新幹線 厚 狭 駅 - 新 下関 駅 - 小 倉 駅 山 陽 本線 長 府 駅 - 新 下関 駅 - 幡 生 駅 * 当 駅 を 始 発 とする 「 み す ゞ 潮 彩 」 は 、 当 駅 - 下関 駅間 では 幡 生 駅 に 停車 しない 。	▁山 陽 新幹線 厚 狭 駅 - 新下関駅 - 小 倉 駅 山陽 本線 長 府 駅 - 新下関駅 - 幡生駅 * 当駅 を 始 発 とする 「 みす ゞ 潮 彩 」 は 、 当駅 - 下関 駅間では 幡生駅 に停車 しない 。	▁山 陽 新幹線 厚 狭 駅 - 新下関駅 - 小 倉 駅 山陽本線長 府 駅 - 新下関駅 - 幡生駅 * 当駅 を始発とする 「 みすゞ潮彩 」 は 、 当駅 - 下関 駅間では幡生駅 に停車しない 。
31	-ても良かっ,-です	店員さんの接客もとても良かったです。	▁店 員 さんの 接客 もとても 良いただ 。	▁店員 さんの 接客 もとても 良いただ 。	▁店員 さんの 接客 もとても 良いただ 。	▁店 員 さんの 接客 もとても 良かったです 。	▁店員 さんの 接客 もとても 良かったです 。	▁店員 さんの 接客 もとても 良かったです 。
32	-でし,-ので,-まで	徒歩15分で港までいけるのでアクセスに便利でした。	▁ 徒歩 15 分 で 港 まで い ける ので アクセ スに 便利 だた 。	▁ 徒歩 15 分で 港 まで い ける ので アクセ スに 便利 だた 。	▁ 徒歩 15 分で 港 まで いけるのでアクセ スに 便利 だた 。	▁ 徒歩 15 分 で 港 まで い ける ので アクセ スに 便利 でした 。	▁ 徒歩 15 分で 港 まで い ける ので アクセ スに 便利 でした 。	▁ 徒歩 15 分で 港 まで い ける ので アクセ スに 便利 でした 。
