id	affixes	text	en_ud2.bpe_12442.txt	en_ud2.bpe_24884.txt	en_ud2.bpe_49768.txt
11	-an,-cratic,-ed,-er,-ing,-ty,af-	Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.	▁Al - Zaman ▁: ▁Gu errillas ▁kill ed▁a ▁member▁of▁the ▁Kurd istan ▁Democr atic ▁Party ▁after ▁kid n app ing▁him ▁in▁M os ul .	▁Al - Zaman ▁: ▁Guerrillas ▁kill ed▁a ▁member▁of▁the ▁Kurd istan ▁Democratic ▁Party ▁after ▁kidnapp ing▁him ▁in▁Mosul .	▁Al - Zaman ▁: ▁Guerrillas▁kill ed▁a ▁member▁of▁the ▁Kurd istan ▁Democratic ▁Party ▁after ▁kidnapp ing▁him ▁in▁Mosul .
12	-ad,-ed,-en,-ent,-er,an-,be-,bi-,com-,dec-	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.	▁The ▁police ▁command er▁of ▁N ine v ah ▁Province ▁announced▁that ▁bombings ▁had ▁decl ined ▁80 ▁percent ▁in▁M os ul , ▁where as ▁there ▁had▁been ▁a▁big ▁jump ▁in▁the ▁number▁of ▁kid n app ings .	▁The▁police ▁commander▁of ▁Nine v ah ▁Province ▁announced▁that ▁bombings ▁had ▁declined ▁80 ▁percent ▁in▁Mosul , ▁where as ▁there▁had▁been ▁a▁big ▁jump ▁in▁the ▁number▁of ▁kidnapp ings .	▁The▁police ▁commander▁of ▁Ninev ah▁Province ▁announced▁that ▁bombings ▁had ▁declined ▁80 ▁percent ▁in▁Mosul , ▁whereas ▁there▁had▁been ▁a▁big ▁jump ▁in▁the ▁number▁of ▁kidnapp ings .
13	-ad,-etic,-ey,-ile,-ome,-on,-ped,an-,co-	On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.	▁On ▁Wednesday ▁guerrillas ▁had ▁kid n app ed▁a▁c os met ic ▁surgeon ▁and▁his▁wife ▁while ▁they▁were ▁on▁their ▁way ▁home .	▁On ▁Wednesday ▁guerrillas ▁had ▁kidnapp ed▁a▁c os met ic ▁surgeon ▁and▁his▁wife ▁while▁they▁were ▁on▁their ▁way ▁home .	▁On ▁Wednesday ▁guerrillas ▁had▁kidnapp ed▁a▁c os metic▁surgeon ▁and▁his▁wife ▁while▁they▁were ▁on▁their ▁way▁home .
14	-ar,-ed,-ey,be-,co-,de-,dis-	In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.	▁In ▁Su way rah , ▁K ut ▁Province , ▁two ▁car ▁bombs ▁were ▁discovered ▁before▁they ▁could▁be ▁det on ated .	▁In ▁Su way rah , ▁K ut ▁Province , ▁two▁car ▁bombs ▁were ▁discovered ▁before▁they ▁could▁be ▁det onated .	▁In▁Suwayrah , ▁K ut ▁Province , ▁two▁car ▁bombs▁were ▁discovered ▁before▁they ▁could▁be ▁detonated .
15	-ation,-ist,-ite,-ly,-or,an-,over-	(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.	▁( K ut ▁is▁in ▁s out heastern ▁Iraq ▁and▁has ▁an ▁overwhel m ingly ▁Shiite ▁population , ▁who▁are ▁on▁the ▁look out ▁for ▁Baath ist ▁s ab ote ur s▁and ▁will ingly ▁turn ▁them ▁in .	▁( K ut ▁is▁in ▁s out heastern ▁Iraq ▁and▁has ▁an ▁overwhelm ingly ▁Shiite ▁population , ▁who▁are ▁on▁the ▁look out ▁for ▁Baath ist ▁sab ote ur s▁and ▁willingly ▁turn ▁them▁in .	▁( K ut ▁is▁in ▁s outheastern ▁Iraq ▁and▁has ▁an ▁overwhelmingly ▁Shiite ▁population , ▁who▁are ▁on▁the▁lookout ▁for ▁Baathist ▁sabote ur s▁and ▁willingly ▁turn ▁them▁in .
16	-ed,-ence,-er,-in,-ness,-ry,-th,cent-,co-,di-	This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.)	▁This ▁will ing ness ▁is ▁the▁main ▁difference ▁in▁the ▁number▁of ▁bombings ▁in▁the ▁south ▁as▁oppos ed▁to ▁the▁c enter - n orth ▁of▁the▁country .)	▁This ▁willing ness ▁is ▁the▁main ▁difference ▁in▁the ▁number▁of ▁bombings ▁in▁the ▁south ▁as▁oppos ed▁to▁the▁c enter - north ▁of▁the▁country .)	▁This ▁willing ness▁is ▁the▁main ▁difference ▁in▁the ▁number▁of ▁bombings ▁in▁the ▁south ▁as▁oppos ed▁to▁the▁c enter - north ▁of▁the▁country .)
17	-ad,-al,-ant,-ation,-ean,-ed,-er,-in,-ity,-ol,-th,de-,dis-	In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.	▁In ▁Baghdad ▁K ad h im ▁Tal al ▁H us ain , ▁assistant ▁de an ▁at▁the ▁School ▁of ▁Educ ation ▁at ▁Must ans iri y ah ▁University , ▁was ▁assassin ated ▁with▁his ▁driver ▁in▁the ▁Sal ikh ▁district .	▁In ▁Baghdad ▁K adhim ▁Tal al ▁H us ain , ▁assistant ▁de an ▁at▁the ▁School▁of ▁Education ▁at ▁Must ans iri yah ▁University , ▁was ▁assassinated ▁with▁his ▁driver ▁in▁the ▁Sal ikh ▁district .	▁In▁Baghdad ▁Kadhim▁Tal al ▁H us ain , ▁assistant ▁de an ▁at▁the ▁School▁of ▁Education ▁at ▁Mustansiri yah ▁University , ▁was ▁assassinated ▁with▁his ▁driver ▁in▁the ▁Sal ikh ▁district .
18	-ed,-eer,en-	Guerrillas killed an engineer, Asi Ali, from Tikrit.	▁Gu errillas ▁kill ed▁an ▁engine er , ▁As i ▁Ali , ▁from ▁T ik rit .	▁Guerrillas ▁kill ed▁an ▁engine er , ▁As i ▁Ali , ▁from ▁T ikrit .	▁Guerrillas▁kill ed▁an ▁engineer , ▁As i ▁Ali , ▁from ▁T ikrit .
19	-an,-ed,-er,-ey,-id,al-,tri-	They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.	▁They▁also ▁killed ▁Shaikh ▁Ham id ▁' A k k ab , ▁a ▁clan ▁e ld er▁of ▁a▁b ranch ▁of▁the ▁Dul aim ▁tribe ▁in▁T ik rit .	▁They▁also ▁killed ▁Shaikh ▁Hamid ▁' A k k ab , ▁a ▁clan ▁e ld er▁of ▁a▁b ranch ▁of▁the ▁Dulaim ▁tribe ▁in▁T ikrit .	▁They▁also ▁killed▁Shaikh ▁Hamid ▁' A k k ab , ▁a▁clan▁eld er▁of ▁a▁branch ▁of▁the▁Dulaim ▁tribe ▁in▁Tikrit .
20	-ed,-er,al-,at-	His mother was also killed in the attack.	▁His ▁mother ▁was▁also ▁kill ed▁in▁the ▁attack .	▁His ▁mother ▁was▁also ▁killed▁in▁the ▁attack .	▁His ▁mother ▁was▁also ▁killed▁in▁the ▁attack .
21	-ed,-en,-er,-st,an-,be-	Two other Dulaim leaders have been killed in the past week and a half.	▁Two ▁other ▁Dul aim ▁leaders ▁have▁been ▁kill ed▁in▁the ▁past ▁week ▁and▁a▁half .	▁Two ▁other ▁Dulaim ▁leaders ▁have▁been ▁killed▁in▁the ▁past ▁week ▁and▁a▁half .	▁Two ▁other ▁Dulaim ▁leaders ▁have▁been ▁killed▁in▁the ▁past ▁week ▁and▁a▁half .
22	-ad,-ar,-ed,-ing,at-,de-,in-	Guerrillas near Hawijah launched an attack that left 6 dead, including 4 Iraqi soldiers.	▁Gu errillas ▁near ▁H aw ij ah ▁launched ▁an ▁attack ▁that ▁left ▁6 ▁dead , ▁including ▁4 ▁Iraqi ▁soldiers .	▁Guerrillas ▁near ▁H awijah ▁launched ▁an ▁attack ▁that ▁left ▁6 ▁dead , ▁including ▁4 ▁Iraqi ▁soldiers .	▁Guerrillas ▁near▁H awijah ▁launched ▁an▁attack ▁that▁left ▁6 ▁dead , ▁including ▁4 ▁Iraqi ▁soldiers .
23	-er,-on,-ty,an-,com-,de-,tri-	One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.	▁One ▁of▁them ▁was ▁from▁the ▁J ub ur ▁tribe ▁and▁was ▁de put y ▁command er▁of▁the ▁H aw ij ah ▁g ar ris on .	▁One ▁of▁them ▁was ▁from▁the ▁J ub ur ▁tribe ▁and▁was ▁deput y ▁command er▁of▁the ▁H awijah ▁gar rison .	▁One▁of▁them ▁was ▁from▁the▁J ubur▁tribe ▁and▁was ▁deput y ▁command er▁of▁the ▁Hawijah ▁garrison .
24	-ad,-an,-ed,-en,-er,-id,-ing,-ling,an-,de-,prot-,uni-	Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.	▁Two ▁hundred ▁members▁of▁the ▁B at awi ▁clan ▁of▁the ▁Dul aim ▁demonstrated ▁in ▁Baghdad ▁on▁Friday , ▁protest ing▁the ▁killing ▁of▁their ▁clan ▁e lder , ▁Shaikh ▁K ad h im ▁Sar h id ▁and ▁4 ▁of▁his ▁sons , ▁by ▁gun men ▁wearing ▁Iraqi ▁army ▁unif orms .	▁Two ▁hundred ▁members▁of▁the ▁Bat awi ▁clan ▁of▁the ▁Dulaim ▁demonstrated ▁in▁Baghdad ▁on▁Friday , ▁protest ing▁the ▁killing ▁of▁their ▁clan ▁elder , ▁Shaikh ▁K adhim ▁Sar h id▁and ▁4 ▁of▁his ▁sons , ▁by ▁gun men ▁wearing ▁Iraqi ▁army ▁uniforms .	▁Two ▁hundred ▁members▁of▁the ▁Batawi▁clan ▁of▁the▁Dulaim ▁demonstrated ▁in▁Baghdad ▁on▁Friday , ▁protest ing▁the ▁killing ▁of▁their ▁clan▁elder , ▁Shaikh ▁Kadhim ▁Sar h id▁and ▁4 ▁of▁his▁sons , ▁by ▁gun men▁wearing ▁Iraqi ▁army ▁uniforms .
25	-an,-ation,-ed,-ing,-ite,-ly,-ment,-ome,-or,-th,ac-,an-,be-,co-,like-	(This is a largely Sunni Arab clan, and some Sunni observers have accused Shiite elements in the government of being behind the assassination; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections.)	▁( This ▁is▁a ▁largely ▁Sunni▁Arab ▁clan , ▁and▁some ▁Sunni ▁obs er vers ▁have ▁accused ▁Shiite ▁elements ▁in▁the ▁government ▁of▁being ▁behind▁the ▁assassination ; ▁it▁is ▁more ▁likely ▁the▁work ▁of ▁Sunni▁Arab ▁guerrillas ▁punish ing▁the ▁B at awi ▁leaders ▁for ▁cooper ating ▁with▁the ▁Dec . ▁15 ▁elections .)	▁( This▁is▁a ▁largely ▁Sunni▁Arab ▁clan , ▁and▁some ▁Sunni ▁observers ▁have ▁accused ▁Shiite ▁elements ▁in▁the ▁government ▁of▁being ▁behind▁the ▁assassination ; ▁it▁is ▁more ▁likely ▁the▁work ▁of ▁Sunni▁Arab ▁guerrillas ▁punish ing▁the ▁Bat awi ▁leaders ▁for ▁cooper ating ▁with▁the ▁Dec .▁15 ▁elections .)	▁( This▁is▁a ▁largely ▁Sunni▁Arab ▁clan , ▁and▁some ▁Sunni ▁observers ▁have ▁accused ▁Shiite ▁elements ▁in▁the ▁government ▁of▁being ▁behind▁the ▁assassination ; ▁it▁is ▁more ▁likely ▁the▁work ▁of ▁Sunni▁Arab ▁guerrillas ▁punish ing▁the ▁Batawi ▁leaders ▁for ▁cooper ating ▁with▁the ▁Dec .▁15 ▁elections .)
26	-al,-an,-ant,-ed,-en,-es,-est,-fication,-ing,-ion,-ly,-th,-ty,ac-,be-,de-,ex-,in-,ind-,off-,par-,re-	Al-Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office.	▁Al - Zaman ▁: ▁The ▁Iraqi ▁High ▁Elect oral ▁Commission ▁on▁Friday ▁den i ed▁a ▁request ▁of▁the ▁Deb a ath ification ▁Commission ▁to ▁exclud e ▁5 1 ▁individuals ▁from ▁runn ing▁on ▁party ▁lists ▁in▁the ▁Dec . ▁15 ▁elections ▁on ▁ground s▁of ▁having ▁been ▁sufficient ly ▁involved▁in ▁Baath ▁activities ▁to ▁warrant ▁their ▁being ▁exclud ed▁from ▁civil ▁office .	▁Al - Zaman ▁: ▁The ▁Iraqi ▁High ▁Elect oral ▁Commission ▁on▁Friday ▁den i ed▁a ▁request ▁of▁the ▁Deb aath ification ▁Commission ▁to ▁exclud e ▁51 ▁individuals ▁from ▁running▁on ▁party ▁lists ▁in▁the ▁Dec .▁15 ▁elections ▁on ▁ground s▁of ▁having ▁been ▁sufficient ly ▁involved▁in ▁Baath ▁activities ▁to ▁warrant ▁their ▁being ▁exclud ed▁from ▁civil ▁office .	▁Al - Zaman ▁: ▁The▁Iraqi ▁High ▁Electoral ▁Commission ▁on▁Friday ▁den i ed▁a ▁request ▁of▁the ▁Debaath ification ▁Commission▁to ▁exclude ▁51 ▁individuals ▁from ▁running▁on ▁party ▁lists ▁in▁the ▁Dec .▁15 ▁elections ▁on ▁ground s▁of ▁having ▁been ▁sufficiently ▁involved▁in ▁Baath ▁activities▁to ▁warrant ▁their ▁being ▁exclud ed▁from ▁civil ▁office .
27	-ad,-al,-id,-ion,-or,ex-	The Commission said it had no legal grounds for such an exclusion.	▁The ▁Commission ▁said ▁it ▁had▁no ▁legal ▁ground s▁for ▁such▁an ▁ex clusion .	▁The▁Commission ▁said▁it ▁had▁no ▁legal ▁ground s▁for ▁such▁an ▁ex clusion .	▁The▁Commission ▁said▁it ▁had▁no ▁legal ▁ground s▁for ▁such▁an ▁exclusion .
28	-all,-ed,-ly,an-,mis-,on-	This item is a small one and easily missed.	▁This ▁item ▁is▁a ▁small ▁one ▁and ▁easily ▁missed .	▁This ▁item ▁is▁a ▁small ▁one ▁and ▁easily ▁missed .	▁This ▁item ▁is▁a▁small ▁one▁and ▁easily ▁missed .
29	-ant,-ly	But in my view it is highly significant.	▁But ▁in▁my ▁view ▁it▁is ▁highly ▁significant .	▁But ▁in▁my ▁view ▁it▁is ▁highly ▁significant .	▁But ▁in▁my▁view ▁it▁is ▁highly ▁significant .
30	-ad,-al,-ard,-ed,-en,-ess,-fication,-ion,-ry,an-,be-,in-	The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard, and had pushed many Sunni Arabs into the arms of the guerrillas.	▁The ▁Deb a ath ification ▁Commission ▁had▁been ▁pushed ▁by ▁Ah mad ▁Chalabi ▁and▁his ▁Iraqi ▁National ▁Congress ▁very ▁hard , ▁and▁had ▁pushed ▁many ▁Sunni ▁Arabs ▁into▁the ▁arm s▁of▁the ▁guerrillas .	▁The ▁Deb aath ification ▁Commission ▁had▁been ▁pushed ▁by ▁Ahmad ▁Chalabi ▁and▁his ▁Iraqi ▁National ▁Congress ▁very ▁hard , ▁and▁had ▁pushed ▁many ▁Sunni ▁Arabs ▁into▁the ▁arm s▁of▁the ▁guerrillas .	▁The▁Debaath ification ▁Commission ▁had▁been ▁pushed ▁by▁Ahmad ▁Chalabi ▁and▁his ▁Iraqi ▁National ▁Congress ▁very▁hard , ▁and▁had ▁pushed ▁many ▁Sunni▁Arabs ▁into▁the ▁arm s▁of▁the ▁guerrillas .
31	-age,-an,-ed,-en,-er,-es,-in,-ite,-ly,-on,-th,an-,be-,de-,in-,with-	Chalabi has been increasingly marginalized within Iraq, however, despite his ties of clientelage with Washington and Tehran.	▁Chalabi ▁has▁been ▁increas ingly ▁marg inal iz ed▁with in ▁Iraq , ▁however , ▁despite ▁his ▁t ies▁of ▁client el age ▁with ▁Washington ▁and ▁Tehran .	▁Chalabi ▁has▁been ▁increasingly ▁marginal iz ed▁within ▁Iraq , ▁however , ▁despite ▁his ▁t ies▁of ▁client el age ▁with ▁Washington ▁and ▁Tehran .	▁Chalabi ▁has▁been ▁increasingly ▁marginaliz ed▁within▁Iraq , ▁however , ▁despite ▁his▁ties▁of ▁client el age ▁with ▁Washington ▁and▁Tehran .
32	-ance,-ant,-ed,-er,-ist,-ite,-ment,-ont,an-,par-	He is no longer in the dominant Shiite list, the United Iraqi Alliance, and won't have many seats in the new parliament.	▁He▁is ▁no▁longer ▁in▁the ▁domin ant ▁Shiite ▁list , ▁the ▁United ▁Iraqi ▁Alliance , ▁and ▁won ' t▁have ▁many ▁seat s▁in▁the ▁new ▁par liament .	▁He▁is ▁no▁longer ▁in▁the ▁dominant ▁Shiite ▁list , ▁the ▁United▁Iraqi ▁Alliance , ▁and ▁won ' t▁have ▁many ▁seat s▁in▁the ▁new ▁parliament .	▁He▁is ▁no▁longer ▁in▁the ▁dominant ▁Shiite ▁list , ▁the ▁United▁Iraqi ▁Alliance , ▁and ▁won ' t▁have ▁many▁seat s▁in▁the ▁new ▁parliament .
33	-ed,-en,-ent,-ing,-ome,-or,-th,-ty,be-,co-,mon-,off-,re-	Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months, something Chalabi would have blocked if he could have.	▁Some ▁2 ,000 ▁j un ior ▁officers ▁of▁the ▁old ▁Baath ▁army ▁have▁been ▁recall ed▁to ▁dut y▁in ▁recent ▁months , ▁something ▁Chalabi ▁would▁have ▁block ed ▁if▁he ▁could▁have .	▁Some ▁2,000 ▁jun ior ▁officers ▁of▁the ▁old ▁Baath ▁army ▁have▁been ▁recall ed▁to ▁dut y▁in ▁recent▁months , ▁something ▁Chalabi ▁would▁have ▁block ed ▁if▁he ▁could▁have .	▁Some ▁2,000 ▁junior▁officers ▁of▁the ▁old▁Baath ▁army ▁have▁been ▁recall ed▁to ▁duty▁in ▁recent▁months , ▁something ▁Chalabi ▁would▁have ▁block ed ▁if▁he ▁could▁have .
34	-al,-ing,-ion,-ish,-le,-or,-ship,-st,-th,-ty,re-	Now the Electoral Commission is refusing to punish people for mere past Baath Party membership.	▁Now ▁the ▁Elect oral ▁Commission ▁is ▁refus ing▁to ▁punish ▁people ▁for▁me re ▁past ▁Baath ▁Party ▁members hip .	▁Now ▁the ▁Elect oral ▁Commission ▁is ▁refusing▁to ▁punish ▁people ▁for▁me re ▁past ▁Baath ▁Party ▁membership .	▁Now ▁the ▁Electoral ▁Commission ▁is▁refusing▁to ▁punish ▁people ▁for▁me re ▁past▁Baath ▁Party ▁membership .
35	-ation,-er,-et,-ing,-ly,be-,on-	The situation in Iraq is only going to get better this way.	▁The ▁situation ▁in▁Iraq ▁is▁only ▁going▁to ▁get ▁better ▁this▁way .	▁The ▁situation ▁in▁Iraq ▁is▁only ▁going▁to▁get ▁better ▁this▁way .	▁The▁situation ▁in▁Iraq ▁is▁only ▁going▁to▁get ▁better ▁this▁way .
36	-ed,-ity,-on,-one,-st,ag-,com-	If someone committed a crime against humanity, prosecute the person.	▁If ▁someone ▁committ ed▁a▁c r ime ▁against ▁humanity , ▁prosec ute ▁the▁person .	▁If ▁someone ▁committ ed▁a▁c rime ▁against ▁humanity , ▁prosec ute ▁the▁person .	▁If▁someone ▁committ ed▁a▁c rime▁against ▁humanity , ▁prosecute ▁the▁person .
37	-en,-er,-ey,-id,al-,di-	If he or she did not, then they should have all the same rights as other Iraqis.	▁If▁he ▁or ▁she ▁did▁not , ▁then▁they ▁should▁have ▁all ▁the▁same ▁rights ▁as ▁other ▁Iraqis .	▁If▁he ▁or ▁she ▁did▁not , ▁then▁they ▁should▁have ▁all ▁the▁same ▁rights ▁as ▁other ▁Iraqis .	▁If▁he ▁or ▁she ▁did▁not , ▁then▁they ▁should▁have ▁all▁the▁same ▁rights ▁as ▁other ▁Iraqis .
38	-ed,-ein,-ey,-ial,-ness,-or,al-,di-,re-,tri-	Al-Sharq al-Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died.	▁Al - Sh arq ▁al - A w sat ▁report s▁that ▁a▁key ▁ey ew itness ▁in▁the ▁trial ▁of ▁Saddam▁Hussein ▁for▁a ▁198 2 ▁mass ac re▁at ▁D uj ail ▁has ▁died .	▁Al - Sharq ▁al - Awsat ▁reports▁that ▁a▁key ▁eyew itness ▁in▁the ▁trial ▁of ▁Saddam▁Hussein ▁for▁a ▁198 2 ▁mass ac re▁at ▁D uj ail ▁has ▁died .	▁Al - Sharq▁al - Awsat ▁reports▁that ▁a▁key ▁eyewitness ▁in▁the▁trial▁of ▁Saddam▁Hussein ▁for▁a ▁198 2 ▁massac re▁at▁Dujail ▁has ▁died .
39	-ed,-tion,be-,co-,de-,di-	A team from the court managed to take his deposition before he died.	▁A ▁team ▁from ▁the▁c our t ▁manag ed▁to ▁take ▁his ▁depos ition ▁before ▁he ▁died .	▁A ▁team ▁from▁the▁c ourt ▁manag ed▁to▁take ▁his ▁deposition ▁before▁he ▁died .	▁A▁team ▁from▁the▁c ourt ▁manag ed▁to▁take ▁his ▁deposition ▁before▁he ▁died .
